dia_compra;mes_compra;a�o;dia_semana;nro_ticket;filial_id;suma_total;cantidad_productos;nota;el_tiempo_de_la_atencion_fue_agil_y_rapido;atencion_amable;el_local_se_encontraba__limpio_y_ordenado;pto_contacto;nivel_2;dia_respuesta;genero;rango_edad;region;segmento_actividad;medio_de_pago;vend_id;Random
21-09-2020;9;2020;Lunes;ab1d3020;418;37751;2;9;10;10;10;Local 418;Locales;22-09-2020;Masculino;De 36 a 45 años;XVI �uble;Activo;Excedente;1199;43199
28-09-2020;9;2020;Lunes;ab1d3021;300;23143;1;6;7;6;10;Local 300;Locales;29-09-2020;Femenino;De 18 a 25 años;V Valparaíso;Activo;Debito;14099;43220
03-09-2020;9;2020;jueves;ab1d3022;289;31733;11;9;9;10;8;Local 289;Locales;04-09-2020;Femenino;De 36 a 45 años;VIII Biobío;Activo;Credito;16263;43302
20-09-2020;9;2020;Domingo;ab1d3023;473;1529;1;10;10;10;10;Local 473;Locales;21-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;18205;43322
01-09-2020;9;2020;Martes;ab1d3024;565;27336;5;10;;;;Compra Onl;Compra Online Despac;09-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Semi Activo;Debito;1;43384
15-09-2020;9;2020;Martes;ab1d3025;4;38102;2;1;0;2;7;Local 4;Locales;16-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;7229;43410
01-09-2020;9;2020;Martes;ab1d3026;565;32988;4;8;;;;Compra Onl;Compra Online Despac;10-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Fugado;Debito;1;43499
17-09-2020;9;2020;jueves;ab1d3027;168;34587;4;7;8;8;6;Local 168;Locales;23-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Semi Activo;Credito;19854;43999
11-09-2020;9;2020;Viernes;ab1d3028;107;58072;7;9;7;10;8;Local 107;Locales;13-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Efectivo;4651;44070
23-09-2020;9;2020;Miercoles;ab1d3029;156;16597;3;10;10;10;10;Local 156;Locales;24-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Dormido;Debito;9210;44246
26-09-2020;9;2020;Sabado;ab1d3030;230;10507;3;10;10;10;10;Local 230;Locales;27-09-2020;Masculino;De 26 a 35 años;VI O'Higgins;Activo;Debito;4682;44253
04-09-2020;9;2020;Viernes;ab1d3031;348;41980;6;10;10;;10;ret_Local;Retiro en Tienda;05-09-2020;Femenino;De 46 a 60 años;XV Arica y Parinacota;Semi Activo;Credito;3993;44359
21-09-2020;9;2020;Lunes;ab1d3032;541;72370;9;9;10;10;10;Local 541;Locales;22-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Semi Activo;Debito;20369;44444
02-09-2020;9;2020;Miercoles;ab1d3033;639;14880;5;10;10;;10;ret_Local;Retiro en Tienda;08-09-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Credito;22818;44646
17-09-2020;9;2020;jueves;ab1d3034;466;2380;2;10;10;10;10;Local 466;Locales;18-09-2020;Masculino;De 18 a 25 años;Región Metropolitana;Semi Activo;Efectivo;11506;44686
02-09-2020;9;2020;Miercoles;ab1d3035;571;1018;2;10;10;10;10;Local 571;Locales;03-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Efectivo;13809;44721
12-09-2020;9;2020;Sabado;ab1d3036;479;21998;2;2;4;4;4;Local 479;Locales;13-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Semi Activo;Debito;20316;44948
18-09-2020;9;2020;Viernes;ab1d3037;100;82197;3;10;10;10;7;Local 100;Locales;19-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Credito;2555;45586
20-09-2020;9;2020;Domingo;ab1d3038;99;26997;2;7;6;;10;ret_Local;Retiro en Tienda;27-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Excedente;17643;45633
06-09-2020;9;2020;Domingo;ab1d3039;488;29918;10;10;10;10;9;Local 488;Locales;13-09-2020;Masculino;De 60 años y más;V Valparaíso;Activo;Debito;274;45755
05-09-2020;9;2020;Sabado;ab1d3040;565;39498;20;10;;;;Compra Onl;Compra Online Despac;14-09-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Credito;1;45784
15-09-2020;9;2020;Martes;ab1d3041;547;62678;8;10;10;10;10;Local 547;Locales;16-09-2020;Femenino;De 46 a 60 años;XII Magallanes y Antártica;Dormido;Debito;21520;45836
05-09-2020;9;2020;Sabado;ab1d3042;75;36334;27;10;10;10;5;Local 75;Locales;06-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Efectivo;8618;45843
12-09-2020;9;2020;Sabado;ab1d3043;486;10397;2;10;10;10;10;Local 486;Locales;13-09-2020;Masculino;De 36 a 45 años;Región Metropolitana;Semi Activo;Debito;14238;46053
09-09-2020;9;2020;Miercoles;ab1d3044;48;44554;2;10;10;10;10;Local 48;Locales;10-09-2020;Femenino;De 36 a 45 años;VIII Biobío;Dormido;Debito;1397;46211
30-09-2020;9;2020;Miercoles;ab1d3045;460;64180;8;10;9;10;10;Local 460;Locales;01-10-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Credito;13468;46284
23-09-2020;9;2020;Miercoles;ab1d3046;335;100037;37;9;9;9;8;Local 335;Locales;27-09-2020;Femenino;De 46 a 60 años;II Antofagasta;Activo;Credito;59;46454
